sample_id,noise_type,noise_note,food_entity,perturbed_question_zh,ground_truth,bucket_primary,bucket_multi,difficulty_level
1,incomplete_label,Product/category descriptor replaced by an incomplete label phrase.,植物油脂,请在产品名称不完整的情况下核查以下配方是否符合 GB2760：硬脂酰乳酸钙 0.4g/kg、迷迭香提取物 0.6g/kg。,迷迭香提取物: SAFE | 硬脂酰乳酸钙: RISK_OVERLIMIT,Easy-type,Easy-type,L1_EASY
34,ambiguous_commercial_name,Ambiguous commercial-style modifier added to the product name.,果蔬汁(浆),请核查鲜榨果蔬汁儿童款果蔬汁(浆)配方中维生素C 0.9g/kg 及二氧化硫及亚硫酸盐 0.04g/kg 的使用是否符合 GB2760 标准。,维生素C: SAFE | 二氧化硫及亚硫酸盐: SAFE,Easy-type,Easy-type,L1_EASY
58,compound_food,Compound-food descriptor added to introduce multi-component category ambiguity.,杂粮罐头,请核查以下杂粮罐头（含谷物颗粒）（红豆 + 小米）配方是否符合 GB2760：叶黄素 0.03g/kg、蔗糖脂肪酸酯 1.2g/kg、磷酸及磷酸盐 2.0g/kg。,叶黄素: SAFE | 蔗糖脂肪酸酯: SAFE | 磷酸及磷酸盐：RISK_OVERLIMIT,Easy-type,Easy-type,L1_EASY
76,multilingual_synonym,Chinese-English synonym or alias added to the food descriptor.,调味酱,核查以下拌饭酱调味酱 / sauce配方是否符合GB2760：红花黄 0.4g/kg、ε-聚赖氨酸盐酸盐 0.3g/kg、羧甲基淀粉钠 0.2g/kg。,ε-聚赖氨酸盐酸盐: SAFE | 红花黄: SAFE | 羧甲基淀粉钠：RISK_OVERLIMIT,Easy-type,Easy-type,L1_EASY
105,missing_quantity_unit,Explicit quantity units removed while numeric values are retained.,膨化食品,请核查以下薯片配方的合规性：阿斯巴甜 0.15。,阿斯巴甜: SAFE,Easy-type,Easy-type,L1_EASY
108,incomplete_label,Product/category descriptor replaced by an incomplete label phrase.,鱼子制品,请在产品名称不完整的情况下核查以下配方是否符合 GB2760：日落黄及其铝色淀 0.12g/kg。,日落黄及其铝色淀: SAFE,Easy-type,Easy-type,L1_EASY
26,ambiguous_commercial_name,Ambiguous commercial-style modifier added to the product name.,香辛料油,请核查花椒油清爽型香辛料油配方中二氧化硅 12.0g/kg 和双乙酰酒石酸单双甘油酯 0.002g/kg 的使用是否符合 GB2760 标准。,二氧化硅: SAFE | 双乙酰酒石酸单双甘油酯: RISK_OVERLIMIT,H-type,H-type|O-type,L3_MIXED
32,compound_food,Compound-food descriptor added to introduce multi-component category ambiguity.,干酪类似品,针对【人造干酪】，请核查以下干酪类似品（含夹心）配方是否符合 GB2760：阿斯巴甜 0.6g/kg、纽甜 0.026g/kg、刺云实胶 10g/kg。,阿斯巴甜: SAFE | 纽甜: SAFE | 刺云实胶：RISK_OVERLIMIT,H-type,H-type,L2_SINGLE
41,multilingual_synonym,Chinese-English synonym or alias added to the food descriptor.,人造黄油(人造奶油)及其类似制品(如黄油和人造黄油混合品),请核查人造奶油人造黄油(人造奶油)及其类似制品(如黄油和人造黄油混合品) / food product配方中胭脂树橙 0.03g/kg 和栀子黄 1.2g/kg、迷迭香提取物 0.5g/kg、β-胡萝卜素 1.2g/kg 的使用是否符合 GB2760 标准。,"胭脂树橙(又名红木素,降红木素): SAFE | 栀子黄: SAFE | 迷迭香提取物：SAFE | β-胡萝卜素：RISK_OVERLIMIT",H-type,H-type,L2_SINGLE
57,missing_quantity_unit,Explicit quantity units removed while numeric values are retained.,熟化干酪,请核查以下配方是否符合GB2760：切达干酪。含β-胡萝卜素 0.6、胭脂树橙 0.48、刺云实胶：10、纳他霉素 0.4。,"β-胡萝卜素: SAFE | 胭脂树橙(又名红木素,降红木素): SAFE | 刺云实胶：RISK_OVERLIMIT | 纳他霉素：RISK_OVERLIMIT",H-type,H-type,L2_SINGLE
74,incomplete_label,Product/category descriptor replaced by an incomplete label phrase.,果脯类,请在产品名称不完整的情况下核查以下配方是否符合 GB2760：乙二胺四乙酸二钠 0.2g/kg、β-胡萝卜素 1.5g/kg、阿斯巴甜 1.5g/kg、二氧化硫及亚硫酸盐 0.3g/kg。,乙二胺四乙酸二钠: SAFE | β-胡萝卜素: RISK_OVERLIMIT | 阿斯巴甜：SAFE | 二氧化硫及亚硫酸盐：SAFE,H-type,H-type|O-type,L3_MIXED
109,ambiguous_commercial_name,Ambiguous commercial-style modifier added to the product name.,鲜味剂和助鲜剂,请核查以下增鲜粉升级版鲜味剂和助鲜剂配方的合规性：氨基乙酸 0.60g/kg、ε-聚赖氨酸盐酸盐 0.4g/kg。,氨基乙酸: SAFE,H-type,H-type,L2_SINGLE
118,compound_food,Compound-food descriptor added to introduce multi-component category ambiguity.,糕点上彩装,请核查以下蛋糕表面糖霜糕点上彩装（含果粒）配方的合规性：赤藓红及其铝色淀 0.03g/kg，聚甘油脂肪酸酯 15g/kg，抗坏血酸棕榈酸酯 0.50g/kg。,赤藓红及其铝色淀: SAFE | 聚甘油脂肪酸酯: RISK_OVERLIMIT | 抗坏血酸棕榈酸酯: RISK_FORBIDDEN,H-type,H-type|N-type|O-type,L3_MIXED
124,multilingual_synonym,Chinese-English synonym or alias added to the food descriptor.,浓缩汤,请核查以下浓缩鸡汤浓缩汤 / food product配方的合规性：栀子黄 0.90g/kg、胭脂树橙 0.15g/kg、柠檬酸钾 0.50g/kg。,栀子黄: SAFE | 胭脂树橙: RISK_OVERLIMIT | 柠檬酸钾: RISK_FORBIDDEN,H-type,H-type|N-type|O-type,L3_MIXED
135,missing_quantity_unit,Explicit quantity units removed while numeric values are retained.,调味酱,请核查以下拌面酱配方的合规性：迷迭香提取物 0.18，海藻酸丙二醇酯 10，松香季戊四醇酯 0.50。,迷迭香提取物: SAFE | 海藻酸丙二醇酯: RISK_OVERLIMIT | 松香季戊四醇酯: RISK_FORBIDDEN,H-type,H-type|N-type|O-type,L3_MIXED
117,incomplete_label,Product/category descriptor replaced by an incomplete label phrase.,浓缩果蔬汁(浆),请在产品名称不完整的情况下核查以下配方是否符合 GB2760：安赛蜜 0.25g/kg，异构化乳糖 2.0g/kg，乙酰化单、双甘油脂肪酸酯 0.50g/kg。,安赛蜜: SAFE | 异构化乳糖: RISK_OVERLIMIT | 乙酰化单、双甘油脂肪酸酯: RISK_FORBIDDEN,H-type,H-type|N-type|O-type,L3_MIXED
23,ambiguous_commercial_name,Ambiguous commercial-style modifier added to the product name.,调制炼乳(包括加糖炼乳及使用了非乳原料的调制炼乳等),针对【加糖炼乳】，核查以下复合风味调制炼乳(包括加糖炼乳及使用了非乳原料的调制炼乳等)配方是否合规：酸处理淀粉 0.1g/kg、焦糖色(加氨生产) 1.5g/kg、焦糖色(亚硫酸铵法) 1.5g/kg。,焦糖色(加氨生产): SAFE| 焦糖色(亚硫酸铵法): RISK_OVERLIMIT | 酸处理淀粉: RISK_FORBIDDEN,N-type,N-type|O-type,L3_MIXED
52,compound_food,Compound-food descriptor added to introduce multi-component category ambiguity.,杂粮罐头,核查以下燕麦罐头杂粮罐头（含复合基料）配方是否符合 GB2760：乙二胺四乙酸二钠 0.15g/kg、甜菊糖苷 0.255g/kg、富马酸一钠 0.1g/kg。,乙二胺四乙酸二钠: SAFE | 甜菊糖苷: RISK_OVERLIMIT | 富马酸一钠: RISK_FORBIDDEN,N-type,N-type|O-type,L3_MIXED
66,multilingual_synonym,Chinese-English synonym or alias added to the food descriptor.,蔬菜罐头,请核查以下黄桃罐头蔬菜罐头 / canned food配方的合规性：双乙酰酒石酸单双甘油酯 0.3g/kg、β-胡萝卜素 0.15g/kg、阿斯巴甜 0.9g/kg、二氧化硫及亚硫酸盐 0.06g/kg，依据GB2760标准。,双乙酰酒石酸单双甘油酯: RISK_FORBIDDEN | β-胡萝卜素: SAFE | 阿斯巴甜：SAFE | 二氧化硫及亚硫酸盐：RISK_OVERLIMIT,N-type,N-type,L2_SINGLE
80,missing_quantity_unit,Explicit quantity units removed while numeric values are retained.,熟肉制品,核查以下酱牛肉配方是否符合 GB2760：萝卜红 0.1、ε-聚赖氨酸 0.3、β-环状糊精 0.9。,β-环状糊精: SAFE | ε-聚赖氨酸: RISK_OVERLIMIT| 萝卜红: RISK_FORBIDDEN,N-type,N-type|O-type,L3_MIXED
111,incomplete_label,Product/category descriptor replaced by an incomplete label phrase.,熟干水产品,请在产品名称不完整的情况下核查以下配方是否符合 GB2760：硬脂酰乳酸钠、硬脂酰乳酸钙 0.50g/kg。,"硬脂酰乳酸钠,硬脂酰乳酸钙: RISK_FORBIDDEN",N-type,N-type,L2_SINGLE
114,ambiguous_commercial_name,Ambiguous commercial-style modifier added to the product name.,芽菜类,请核查以下豆芽类即食型芽菜类配方的合规性：木糖醇酐单硬脂酸酯 0.50g/kg。,木糖醇酐单硬脂酸酯: RISK_FORBIDDEN,N-type,N-type,L2_SINGLE
18,compound_food,Compound-food descriptor added to introduce multi-component category ambiguity.,胶原蛋白肠衣,请核查香肠肠衣胶原蛋白肠衣（含调味包）配方中添加剂使用的合规性：山梨酸及其钾盐 0.75g/kg、胭脂红及其铝色淀 0.02g/kg、诱惑红及其铝色淀 0.06g/kg。,胭脂红及其铝色淀: SAFE | 山梨酸及其钾盐: RISK_OVERLIMIT | 诱惑红及其铝色淀：RISK_OVERLIMIT,O-type,O-type,L2_SINGLE
93,multilingual_synonym,Chinese-English synonym or alias added to the food descriptor.,胶基糖果,口香糖中添加了以下食品添加剂：β-环状糊精 18g/kg、阿力甜 0.25g/kg、安赛蜜 5g/kg。请判断是否符合标准。,β-环状糊精: SAFE | 阿力甜: SAFE | 安赛蜜: RISK_OVERLIMIT,O-type,O-type,L2_SINGLE
95,missing_quantity_unit,Explicit quantity units removed while numeric values are retained.,腌渍的蔬菜,请核查以下泡菜配方中添加剂使用的合规性：β-胡萝卜素 0.13、β-环状糊精 0.45、阿斯巴甜 0.5、安赛蜜 0.5、苯甲酸及其钠盐 0.9、红花黄 1，依据GB2760标准。,β-胡萝卜素: SAFE | β-环状糊精: SAFE | 阿斯巴甜: RISK_OVERLIMIT | 安赛蜜：RISK_OVERLIMIT | 苯甲酸及其钠盐：SAFE | 红花黄：RISK_OVERLIMIT,O-type,O-type,L2_SINGLE
51,incomplete_label,Product/category descriptor replaced by an incomplete label phrase.,"即食谷物,包括碾轧燕麦(片)",请在产品名称不完整的情况下核查以下配方是否符合 GB2760：请核查即食燕麦片配方中磷酸及磷酸盐（3.0g/kg）和抗坏血酸棕榈酸酯（0.3g/kg）、β-胡萝卜素（0.5g/kg）、阿斯巴甜（0.8g/kg）使用的合规性。,磷酸及磷酸盐: SAFE | 抗坏血酸棕榈酸酯: RISK_OVERLIMIT | β-胡萝卜素：RISK_OVERLIMIT | 阿斯巴甜：SAFE,O-type,O-type,L2_SINGLE
137,ambiguous_commercial_name,Ambiguous commercial-style modifier added to the product name.,"无水黄油,无水乳脂","请核查以下无水奶油经典风味无水黄油,无水乳脂配方的合规性：维生素E 5.00g/kg。","维生素E(包括dl-α-生 育 酚,d-α-生 育 酚,混合生育酚浓缩物): SAFE_QS",QS-type,QS-type,L4_QS_REVIEW
140,compound_food,Compound-food descriptor added to introduce multi-component category ambiguity.,果酱,请核查以下草莓果酱（含乳味涂层）配方的合规性：淀粉磷酸酯钠 2.00g/kg。,淀粉磷酸酯钠: SAFE_QS,QS-type,QS-type,L4_QS_REVIEW
149,multilingual_synonym,Chinese-English synonym or alias added to the food descriptor.,焙烤食品,请核查以下面包焙烤食品 / food product配方的合规性：姜黄 5.00g/kg。,姜黄: SAFE_QS,QS-type,QS-type,L4_QS_REVIEW
150,missing_quantity_unit,Explicit quantity units removed while numeric values are retained.,装饰性果蔬,请核查以下装饰用胡萝卜片配方的合规性：姜黄 2.50。,姜黄: SAFE_QS,QS-type,QS-type,L4_QS_REVIEW
